Meddržavne selitve po: SELITVE, STAROSTNE SKUPINE, LETO, SPOL ,;;;;;
DRŽAVLJANSTVO;;;;;
;;;;;
Priseljeni iz tujine;;;;;
Priseljeni iz tujine;Starostne skupine - SKUPAJ;;;;
Priseljeni iz tujine;Starostne skupine - SKUPAJ;2000;;;
 ; ; ; ;Tuji državljani;872
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;44
 ; ; ; ;Tuji državljani;820
 ; ;2013;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;52
 ; ; ; ;Tuji državljani;802
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;31
 ; ; ; ;Tuji državljani;714
 ; ;2014;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;63
 ; ; ; ;Tuji državljani;750
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;49
 ; ; ; ;Tuji državljani;700
 ; ;2015;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;67
 ; ; ; ;Tuji državljani;807
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;73
 ; ; ; ;Tuji državljani;703
 ;25-29 let;;;;
 ; ;2000;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;38
 ; ; ; ;Tuji državljani;739
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;36
 ; ; ; ;Tuji državljani;253
 ; ;2001;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;50
 ; ; ; ;Tuji državljani;850
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;45
 ; ; ; ;Tuji državljani;378
 ; ;2002;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;66
 ; ; ; ;Tuji državljani;974
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;71
 ; ; ; ;Tuji državljani;399
 ; ;2003;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;61
 ; ; ; ;Tuji državljani;989
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;55
 ; ; ; ;Tuji državljani;415
 ; ;2004;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;106
 ; ; ; ;Tuji državljani;1120
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;50
 ; ; ; ;Tuji državljani;393
 ; ;2005;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;109
 ; ; ; ;Tuji državljani;1771
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;59
 ; ; ; ;Tuji državljani;551
 ; ;2006;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;94
 ; ; ; ;Tuji državljani;2629
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;59
 ; ; ; ;Tuji državljani;532
 ; ;2007;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;73
 ; ; ; ;Tuji državljani;4173
